year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2016,Kasaragod,5,5,Trikaripur,M. RAJAGOPALAN,CPI(M),79286,50.9318,True,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/005.pdf
2016,Kasaragod,5,5,Trikaripur,K.P. KUNHIKANNAN,INC,62327,40.0376,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/005.pdf
2016,Kasaragod,5,5,Trikaripur,M. BHASKARAN,BJP,10767,6.9165,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/005.pdf
2016,Kasaragod,5,5,Trikaripur,C.H. MUTHALIB,WPI,1029,0.661,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/005.pdf
2016,Kasaragod,5,5,Trikaripur,M.V. SHAUKATHALI,SDPI,840,0.5396,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/005.pdf
2016,Kasaragod,5,5,Trikaripur,NOTA,NOTA,774,0.4972,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/005.pdf
2016,Kasaragod,5,5,Trikaripur,P.P. PURUSHOTHAMAN,IND,263,0.1689,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/005.pdf
2016,Kasaragod,5,5,Trikaripur,K.P. KUNHIKANNAN KANDOTHUMPURATH,IND,183,0.1176,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/005.pdf
2016,Kasaragod,5,5,Trikaripur,KUNJIKANNAN. P. M KURUVATTU VEEDU,IND,109,0.07,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/005.pdf
2016,Kasaragod,5,5,Trikaripur,K M SREEDHARAN,IND,93,0.0597,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/005.pdf
