year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2016,Malappuram,46,46,Kottakkal,ABID HUSSAIN THANGAL,IUML,71768,48.3374,True,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
2016,Malappuram,46,46,Kottakkal,N.A. MUHAMMED KUTTY (MAMMOOTY),NCP,56726,38.2063,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
2016,Malappuram,46,46,Kottakkal,V. UNNIKRISHNAN MASTER,BJP,13205,8.8939,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
2016,Malappuram,46,46,Kottakkal,NEYYATHOOR KUNHIMOHAMED,PDP,2763,1.8609,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
2016,Malappuram,46,46,Kottakkal,K.P.O. RAHMATHULLA,SDPI,1719,1.1578,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
2016,Malappuram,46,46,Kottakkal,NOTA,NOTA,806,0.5429,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
2016,Malappuram,46,46,Kottakkal,C. MUHAMMED KUTTY,IND,579,0.39,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
2016,Malappuram,46,46,Kottakkal,VILLAN MOHAMMED KUTTY,IND,429,0.2889,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
2016,Malappuram,46,46,Kottakkal,BINDU DEVARAJAN,IND,223,0.1502,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
2016,Malappuram,46,46,Kottakkal,SAINUL ABID THANGAL,IND,150,0.101,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
2016,Malappuram,46,46,Kottakkal,BEERAN. K,IND,105,0.0707,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/046.pdf
