year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2016,Malappuram,47,47,Thavanur,DR. K.T. JALEEL,IND,68179,47.9712,True,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,IFTHIQUARUDHEEN MASTER,INC,51115,35.9648,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,RAVI THELATH,BJP,15801,11.1177,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,P.K. JALEEL PARAKKUZHIYIL,SDPI,2649,1.8639,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,ALI KADAMPUZHA,PDP,1077,0.7578,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,MUHAMMED PONNANI,WPI,1007,0.7085,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,IFTHIKARUDHEEN. P.P,IND,601,0.4229,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,NOTA,NOTA,473,0.3328,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,APPUNNI. O.V,IND,443,0.3117,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,K.T. JALEEL KANHIRATHODIKA,IND,272,0.1914,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,K.A. JALEEL KOTTILIL,IND,251,0.1766,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,SONIA PINTO,IND,133,0.0936,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
2016,Malappuram,47,47,Thavanur,K.T. JALEEL KUNNATHODI,UNKNOWN,124,0.0872,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/047.pdf
