year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2016,Palakkad,59,59,Nenmara,K. BABU,CPI(M),66316,42.9013,True,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,A.V. GOPINATHAN,INC,58908,38.1089,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,N. SIVARAJAN,BJP,23096,14.9413,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,MENAKA. K,AIADMK,2186,1.4142,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,NOTA,NOTA,1053,0.6812,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,AJITH KOLLENGODE,WPI,772,0.4994,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,SAKKIR HUSSAIN S,SDPI,487,0.3151,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,MOHANDASAN,IND,461,0.2982,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,BABU CHATHAN,IND,324,0.2096,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,BABU KUMARAN,IND,239,0.1546,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,BABU THATHAKUTTY,IND,233,0.1507,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,BABU VASU,IND,204,0.132,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,M. VINOD,SHIVSENA,168,0.1087,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
2016,Palakkad,59,59,Nenmara,GOPINATHAN BALAKRISHNAN,IND,131,0.0847,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/059.pdf
