year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2016,Ernakulam,80,80,Kochi,K J MAXI,CPI(M),47967,38.6974,True,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
2016,Ernakulam,80,80,Kochi,DOMINIC PRESENTATION,INC,46881,37.8213,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
2016,Ernakulam,80,80,Kochi,PRAVEEN DHAMODARA PRABHU,NDA,15212,12.2723,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
2016,Ernakulam,80,80,Kochi,K J LEENUS,UNKNOWN,7588,6.1216,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
2016,Ernakulam,80,80,Kochi,A.S. MUHAMMED,UNKNOWN,2357,1.9015,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
2016,Ernakulam,80,80,Kochi,SULFIKAR ALI,UNKNOWN,2108,1.7006,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
2016,Ernakulam,80,80,Kochi,NOTA,NOTA,1002,0.8084,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
2016,Ernakulam,80,80,Kochi,T.P. ANTONY,UNKNOWN,386,0.3114,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
2016,Ernakulam,80,80,Kochi,JOHNY STEPHEN,UNKNOWN,180,0.1452,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
2016,Ernakulam,80,80,Kochi,JAYARAJ K S,UNKNOWN,172,0.1388,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
2016,Ernakulam,80,80,Kochi,ABDUL SAMAD,UNKNOWN,101,0.0815,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/080.pdf
