year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2016,Kasaragod,1,1,Manjeshwar,P B ABDUL RAZAK,IUML,56870,35.7934,True,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/001.pdf
2016,Kasaragod,1,1,Manjeshwar,K SURENDRAN,BJP,56781,35.7374,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/001.pdf
2016,Kasaragod,1,1,Manjeshwar,C.H.KUNHAMBU,CPI(M),42565,26.79,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/001.pdf
2016,Kasaragod,1,1,Manjeshwar,BASHEER AHAMAD,PDP,759,0.4777,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/001.pdf
2016,Kasaragod,1,1,Manjeshwar,NOTA,NOTA,646,0.4066,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/001.pdf
2016,Kasaragod,1,1,Manjeshwar,K.SUNDARA,IND,467,0.2939,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/001.pdf
2016,Kasaragod,1,1,Manjeshwar,RAVICHANDRA,BSP,365,0.2297,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/001.pdf
2016,Kasaragod,1,1,Manjeshwar,K P MUNEER,IND,224,0.141,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/001.pdf
2016,Kasaragod,1,1,Manjeshwar,JOHN D'SOUZA,IND,207,0.1303,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/001.pdf
2016,Kasaragod,2,2,Kasaragod,N A NELLIKKUNNU,IUML,64727,44.7167,True,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/002.pdf
2016,Kasaragod,2,2,Kasaragod,RAVISHA THANTHRI KUNTAR,BJP,56120,38.7706,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/002.pdf
2016,Kasaragod,2,2,Kasaragod,DR.A.A AMEEN,INL,21615,14.9327,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/002.pdf
2016,Kasaragod,2,2,Kasaragod,NOTA,NOTA,661,0.4567,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/002.pdf
2016,Kasaragod,2,2,Kasaragod,VIJAYAKUMAR B,BSP,585,0.4041,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/002.pdf
