year,party,seats_won,votes,constituencies,candidates,total_valid_votes
2016,CPI(M),54,3710256,138,1321,19860057
2016,INC,19,1266609,138,1321,19860057
2016,CPI,17,1169455,138,1321,19860057
2016,IUML,16,1081745,138,1321,19860057
2016,UNKNOWN,13,828192,138,1321,19860057
2016,IND,5,362793,138,1321,19860057
2016,KEC(M),4,249130,138,1321,19860057
2016,JD(S),3,178141,138,1321,19860057
2016,NCP,1,76387,138,1321,19860057
2016,KC(B),1,74429,138,1321,19860057
2016,KC(J),1,73770,138,1321,19860057
2016,BJP,1,67813,138,1321,19860057
2016,CMP,1,64666,138,1321,19860057
2016,NSC,1,64472,138,1321,19860057
2016,C(S),1,54347,138,1321,19860057
