year,district_id,district,constituency_id,constituency_number,constituency,source_url
2021,1,Kasaragod,1,1,Manjeshwar,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/001.pdf
2021,1,Kasaragod,2,2,Kasaragod,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/002.pdf
2021,1,Kasaragod,3,3,Udma,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/003.pdf
2021,1,Kasaragod,4,4,Kanhangad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/004.pdf
2021,1,Kasaragod,5,5,Trikaripur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/005.pdf
2021,2,Kannur,6,6,Payyannur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/006.pdf
2021,2,Kannur,7,7,Kalliasseri,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/007.pdf
2021,2,Kannur,8,8,Taliparamba,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/008.pdf
2021,2,Kannur,9,9,Irikkur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/009.pdf
2021,2,Kannur,10,10,Azhikode,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/010.pdf
2021,2,Kannur,11,11,Kannur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/011.pdf
2021,2,Kannur,12,12,Dharmadam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/012.pdf
2021,2,Kannur,13,13,Thalassery,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/013.pdf
2021,2,Kannur,14,14,Kuthuparamba,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/014.pdf
2021,2,Kannur,15,15,Mattannur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/015.pdf
2021,2,Kannur,16,16,Peravoor,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/016.pdf
2021,3,Wayanad,17,17,Mananthavady,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/017.pdf
2021,3,Wayanad,18,18,Sulthanbathery,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/018.pdf
2021,3,Wayanad,19,19,Kalpetta,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/019.pdf
2021,4,Kozhikode,20,20,Vadakara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/020.pdf
2021,4,Kozhikode,21,21,Kuttiadi,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/021.pdf
2021,4,Kozhikode,22,22,Nadapuram,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/022.pdf
2021,4,Kozhikode,23,23,Quilandy,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/023.pdf
2021,4,Kozhikode,24,24,Perambra,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/024.pdf
2021,4,Kozhikode,25,25,Balusseri,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/025.pdf
2021,4,Kozhikode,26,26,Elathur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/026.pdf
2021,4,Kozhikode,27,27,kozhikode north,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/027.pdf
2021,4,Kozhikode,28,28,Kozhikode south,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/028.pdf
2021,4,Kozhikode,29,29,Beypore,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/029.pdf
2021,4,Kozhikode,30,30,Kunnamangalam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/030.pdf
2021,4,Kozhikode,31,31,Koduvally,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/031.pdf
2021,4,Kozhikode,32,32,Thiruvambady,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/032.pdf
2021,5,Malappuram,33,33,Kondotty,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/033.pdf
2021,5,Malappuram,34,34,Eranad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/034.pdf
2021,5,Malappuram,35,35,Nilambur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/035.pdf
2021,5,Malappuram,36,36,Wandoor,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/036.pdf
2021,5,Malappuram,37,37,Manjeri,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/037.pdf
2021,5,Malappuram,38,38,Perinthalmanna,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/038.pdf
2021,5,Malappuram,39,39,Mankada,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/039.pdf
2021,5,Malappuram,40,40,Malappuram,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/040.pdf
2021,5,Malappuram,41,41,Vengara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/041.pdf
2021,5,Malappuram,42,42,Vallikkunnu,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/042.pdf
2021,5,Malappuram,43,43,Tirurangadi,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/043.pdf
2021,5,Malappuram,44,44,Tanur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/044.pdf
2021,5,Malappuram,45,45,Tirur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/045.pdf
2021,5,Malappuram,46,46,Kottakkal,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/046.pdf
2021,5,Malappuram,47,47,Thavanur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/047.pdf
2021,5,Malappuram,48,48,Ponnani,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/048.pdf
2021,6,Palakkad,49,49,Thrithala,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/049.pdf
2021,6,Palakkad,50,50,Pattambi,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/050.pdf
2021,6,Palakkad,51,51,Shornur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/051.pdf
2021,6,Palakkad,52,52,Ottapalam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/052.pdf
2021,6,Palakkad,53,53,Kongad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/053.pdf
2021,6,Palakkad,54,54,Mannarkad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/054.pdf
2021,6,Palakkad,55,55,Malampuzha,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/055.pdf
2021,6,Palakkad,56,56,Palakkad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/056.pdf
2021,6,Palakkad,57,57,Tarur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/057.pdf
2021,6,Palakkad,58,58,Chittur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/058.pdf
2021,6,Palakkad,59,59,Nenmara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/059.pdf
2021,6,Palakkad,60,60,Alathur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/060.pdf
2021,7,Thrissur,61,61,Chelakkara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/061.pdf
2021,7,Thrissur,62,62,Kunnamkulam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/062.pdf
2021,7,Thrissur,63,63,Guruvayoor,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/063.pdf
2021,7,Thrissur,64,64,Manalur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/064.pdf
2021,7,Thrissur,65,65,Wadakkanchery,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/065.pdf
2021,7,Thrissur,66,66,Ollur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/066.pdf
2021,7,Thrissur,67,67,Thrissur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/067.pdf
2021,7,Thrissur,68,68,Nattika,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/068.pdf
2021,7,Thrissur,69,69,Kaipamangalam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/069.pdf
2021,7,Thrissur,70,70,Irinjalakkuda,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/070.pdf
2021,7,Thrissur,71,71,Puthukkad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/071.pdf
2021,7,Thrissur,72,72,Chalakkudy,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/072.pdf
2021,7,Thrissur,73,73,Kodungallur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/073.pdf
2021,8,Ernakulam,74,74,Perumbavoor,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/074.pdf
2021,8,Ernakulam,75,75,Angamaly,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/075.pdf
2021,8,Ernakulam,76,76,Aluva,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/076.pdf
2021,8,Ernakulam,77,77,Kalamassery,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/077.pdf
2021,8,Ernakulam,78,78,Paravur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/078.pdf
2021,8,Ernakulam,79,79,Vypen,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/079.pdf
2021,8,Ernakulam,80,80,Kochi,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/080.pdf
2021,8,Ernakulam,81,81,Thripunithura,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/081.pdf
2021,8,Ernakulam,82,82,Eranakulam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/082.pdf
2021,8,Ernakulam,83,83,Thrikkakara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/083.pdf
2021,8,Ernakulam,84,84,Kunnathunad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/084.pdf
2021,8,Ernakulam,85,85,Piravom,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/085.pdf
2021,8,Ernakulam,86,86,Muvattupuzha,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/086.pdf
2021,8,Ernakulam,87,87,Kothamangalam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/087.pdf
2021,9,Idukki,88,88,Devikulam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/088.pdf
2021,9,Idukki,89,89,Udumbanchola,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/089.pdf
2021,9,Idukki,90,90,Thodupuzha,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/090.pdf
2021,9,Idukki,91,91,Idukki,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/091.pdf
2021,9,Idukki,92,92,Peerumade,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/092.pdf
2021,10,Kottayam,93,93,Pala,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/093.pdf
2021,10,Kottayam,94,94,Kaduthuruthy,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/094.pdf
2021,10,Kottayam,95,95,Vaikom,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/095.pdf
2021,10,Kottayam,96,96,Ettumanoor,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/096.pdf
2021,10,Kottayam,97,97,Kottayam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/097.pdf
2021,10,Kottayam,98,98,Puthuppally,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/098.pdf
2021,10,Kottayam,99,99,Changanassery,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/099.pdf
2021,10,Kottayam,100,100,Kanjirappally,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/100.pdf
2021,10,Kottayam,101,101,Poonjar,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/101.pdf
2021,11,Alappuzha,102,102,Aroor,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/102.pdf
2021,11,Alappuzha,103,103,Cherthala,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/103.pdf
2021,11,Alappuzha,104,104,Alappuzha,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/104.pdf
2021,11,Alappuzha,105,105,Ambalapuzha,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/105.pdf
2021,11,Alappuzha,106,106,Kuttanad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/106.pdf
2021,11,Alappuzha,107,107,Haripad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/107.pdf
2021,11,Alappuzha,108,108,Kayamkulam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/108.pdf
2021,11,Alappuzha,109,109,Mavelikara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/109.pdf
2021,11,Alappuzha,110,110,Chengannur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/110.pdf
2021,12,Pathanamthitta,111,111,Thiruvalla,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/111.pdf
2021,12,Pathanamthitta,112,112,Ranni,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/112.pdf
2021,12,Pathanamthitta,113,113,Aranmula,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/113.pdf
2021,12,Pathanamthitta,114,114,Konni,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/114.pdf
2021,12,Pathanamthitta,115,115,Adoor,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/115.pdf
2021,13,Kollam,116,116,Karunagappally,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/116.pdf
2021,13,Kollam,117,117,Chavara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/117.pdf
2021,13,Kollam,118,118,Kunnathur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/118.pdf
2021,13,Kollam,119,119,Kottarakkara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/119.pdf
2021,13,Kollam,120,120,Pathanapuram,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/120.pdf
2021,13,Kollam,121,121,Punalur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/121.pdf
2021,13,Kollam,122,122,Chadayamangalam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/122.pdf
