year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2021,Palakkad,54,54,Mannarkad,ADVOCATE. N. SAMSUDHEEN,IUML,71657,47.11,True,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,K. P. SURESH RAJ,CPI,65787,43.25,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,AGALI NASEEMA P,ADMK,10376,6.82,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,JAMES MASH,IND,988,0.65,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,SIVADASAN,BSP,827,0.54,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,NOTA,NOTA,760,0.5,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,SHAMSUDDEEN S/o. HAMZA,IND,511,0.34,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,SURESH,IND,440,0.29,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,SURESH BABU,IND,304,0.2,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,SHAMSUDDEEN S/o. YUSAF,IND,192,0.13,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,AJIKUMAR,IND,159,0.1,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Palakkad,54,54,Mannarkad,SHIBU GEORGE IND,IND,101,0.07,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
