year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2021,Kottayam,93,93,Pala,MANI C KAPPEN,IND,69804,50.43,True,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,JOSE K. MANI,KEC(M),54426,39.32,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,PRAMEELADEVI .J,BJP,10869,7.85,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,MANI C. KURIAKOSE,IND,1098,0.79,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,NOTA,NOTA,604,0.44,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,SANTHOSH PULICKAL,IND,444,0.32,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,JOY THOMAS VAZHAMATTOM,BSP,368,0.27,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,C. V. JOHN,IND,249,0.18,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,SREEJITH V S,IND,195,0.14,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,THOMAS J. NIDIRY,IND,160,0.12,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,ALBIN MATHEW,IND,121,0.09,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Kottayam,93,93,Pala,SUNIL ALANCHERIL IND Gramophone,IND,93,0.07,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
