year,district,district_id,constituency_id,constituency_number,constituency,candidate,party,alliance,votes,margin,round_status,is_winner,source_url
2026,Kasaragod,1,1,1,Manjeshwar,A K M ASHRAF,IUML,UDF,96948.0,29252.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kasaragod,1,2,2,Kasaragod,KALLATRA MAHIN,IUML,UDF,76396.0,22698.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kasaragod,1,3,3,Udma,NEELAKANDAN,INC,UDF,78910.0,4847.0,18/18,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kasaragod,1,4,4,Kanhangad,ADV. GOVINDAN PALLIKAPPIL,CPI,LDF,79920.0,15316.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kasaragod,1,5,5,Trikaripur,SANDEEP VARIER,INC,UDF,83109.0,4431.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,6,6,Payyannur,V. KUNHIKRISHNAN,IND,OTHER,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,7,7,Kalliasseri,M.VIJIN,CPI(M),LDF,81428.0,18433.0,14/14,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,8,8,Taliparamba,T K GOVINDAN MASTER S/O KUNHIKKANNAN NAMBIAR,IND,OTHER,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,9,9,Irikkur,ADV. SAJEEV JOSEPH,INC,UDF,90895.0,42426.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,10,10,Azhikode,K. V. SUMESH,CPI(M),LDF,64951.0,349.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,11,11,Kannur,ADV.T.O. MOHANAN,INC,UDF,70620.0,18551.0,14/14,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,12,12,Dharmadam,PINARAYI VIJAYAN,CPI(M),LDF,85614.0,19247.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,13,13,Thalassery,KARAYI RAJAN,CPI(M),LDF,69743.0,20523.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,14,14,Kuthuparamba,P K PRAVEEN,RJD,LDF,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,15,15,Mattannur,V K SANOJ,CPI(M),LDF,81456.0,14168.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kannur,2,16,16,Peravoor,ADV. SUNNY JOSEPH,INC,UDF,76140.0,14453.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Wayanad,3,17,17,Mananthavady,USHA VIJAYAN,INC,UDF,77425.0,10543.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Wayanad,3,18,18,Sulthanbathery,I C BALAKRISHNAN,INC,UDF,78936.0,16597.0,18/18,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Wayanad,3,19,19,Kalpetta,ADV. T SIDDIQUE,INC,UDF,97379.0,45031.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kozhikode,4,20,20,Vadakara,K K REMA,RMPOI,UDF,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kozhikode,4,21,21,Kuttiadi,PARAKKAL ABDULLA,IUML,UDF,88197.0,10922.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kozhikode,4,22,22,Nadapuram,K.M. ABHIJITH,INC,UDF,99763.0,23600.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kozhikode,4,23,23,Quilandy,ADV. K. PRAVEEN KUMAR,INC,UDF,79913.0,12070.0,18/18,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
