body_type,body_type_name,local_body_code,local_body_name,assembly_constituency_no,assembly_constituency,mapped_wards_in_constituency,total_mapped_wards,dominant_share,split_constituencies,udf_wins,ldf_wins,nda_wins,oth_wins,ruling_front,ruling_front_count,second_front,second_front_count,third_front,third_front_count
C,Corporation,C01001,Thiruvananthapuram,132,Kazhakkoottam,31,101,0.3069,6,19,29,50,2,NDA,50,LDF,29,UDF,19
C,Corporation,C02002,Kollam,125,Eravipuram,24,56,0.4286,3,27,16,12,1,UDF,27,LDF,16,NDA,12
C,Corporation,C07003,Kochi,80,Kochi,32,76,0.4211,5,46,20,6,4,UDF,46,LDF,20,NDA,6
C,Corporation,C08004,Thrissur,67,Thrissur,40,56,0.7143,2,33,11,8,4,UDF,33,LDF,11,NDA,8
C,Corporation,C11005,Kozhikode,27,Kozhikode North,36,75,0.4800,4,26,35,13,2,LDF,35,UDF,26,NDA,13
C,Corporation,C13006,Kannur,11,Kannur,41,56,0.7321,2,36,15,4,1,UDF,36,LDF,15,NDA,4
G,Grama Panchayat,G01001,Parassala Gramapanchayath,137,Parassala,23,23,1.0000,1,10,9,3,2,UDF,10,LDF,9,NDA,3
G,Grama Panchayat,G01002,Karode Gramapanchayath,140,Neyyattinkara,20,20,1.0000,1,9,7,2,2,UDF,9,LDF,7,NDA,2
G,Grama Panchayat,G01003,Kulathoor Grampanchayat,140,Neyyattinkara,21,21,1.0000,1,13,6,0,2,UDF,13,LDF,6,OTH,2
G,Grama Panchayat,G01004,Chenkal Gramapanchayat,140,Neyyattinkara,22,22,1.0000,1,13,8,1,0,UDF,13,LDF,8,NDA,1
G,Grama Panchayat,G01005,Thirupuram Gramapanchayath,140,Neyyattinkara,9,15,0.6000,2,11,4,0,0,UDF,11,LDF,4,,
G,Grama Panchayat,G01006,Poovar Grampanchayat,139,Kovalam,15,15,1.0000,1,8,4,2,1,UDF,8,LDF,4,NDA,2
G,Grama Panchayat,G01007,Vellarada Gramapanchayath,137,Parassala,23,23,1.0000,1,7,14,2,1,LDF,14,UDF,7,NDA,2
G,Grama Panchayat,G01008,Kunnathukal Gramapanchayat,137,Parassala,23,23,1.0000,1,10,10,3,0,UDF,10,LDF,10,NDA,3
G,Grama Panchayat,G01009,Kollayil Gramapanchayath,137,Parassala,18,18,1.0000,1,4,10,4,0,LDF,10,UDF,4,NDA,4
G,Grama Panchayat,G01010,Perumkadavila Gramapanchayath,137,Parassala,17,17,1.0000,1,8,6,3,0,UDF,8,LDF,6,NDA,3
G,Grama Panchayat,G01011,Aryancode Gramapanchayath,137,Parassala,17,17,1.0000,1,5,8,3,1,LDF,8,UDF,5,NDA,3
G,Grama Panchayat,G01012,Ottasekaramangalam Gramapanchayath,137,Parassala,15,15,1.0000,1,5,7,3,0,LDF,7,UDF,5,NDA,3
G,Grama Panchayat,G01013,Kallikkadu Gramapanchayath,137,Parassala,14,14,1.0000,1,5,8,1,0,LDF,8,UDF,5,NDA,1
G,Grama Panchayat,G01014,Amboori Gramapanchayath,137,Parassala,14,14,1.0000,1,8,6,0,0,UDF,8,LDF,6,,
G,Grama Panchayat,G01016,Kanjiramkulam Gramapanchayath,139,Kovalam,15,15,1.0000,1,11,4,0,0,UDF,11,LDF,4,,
G,Grama Panchayat,G01017,Karumkulam Gramapanchayath,139,Kovalam,18,18,1.0000,1,11,6,0,2,UDF,11,LDF,6,OTH,2
G,Grama Panchayat,G01018,Kottukal Gramapanchayat,139,Kovalam,21,21,1.0000,1,11,9,1,0,UDF,11,LDF,9,NDA,1
G,Grama Panchayat,G01019,Venganoor Gramapanchayat,139,Kovalam,20,22,0.9091,2,7,8,6,1,LDF,8,UDF,7,NDA,6
G,Grama Panchayat,G01020,Maranalloor Gramapanchayat,138,Kattakkada,22,22,1.0000,1,2,8,11,1,NDA,11,LDF,8,UDF,2
G,Grama Panchayat,G01021,Balaramapuram Gramapanchayath,139,Kovalam,14,22,0.6364,3,8,9,4,1,LDF,9,UDF,8,NDA,4
G,Grama Panchayat,G01022,Pallichal Gramapanchayat,138,Kattakkada,21,24,0.8750,2,6,12,6,0,LDF,12,UDF,6,NDA,6
G,Grama Panchayat,G01023,Malayinkeezhu Grampanchayat,138,Kattakkada,22,22,1.0000,1,8,6,7,1,UDF,8,NDA,7,LDF,6
G,Grama Panchayat,G01024,Vilappil Gramapanchayat,138,Kattakkada,22,22,1.0000,1,4,7,11,0,NDA,11,LDF,7,UDF,4
G,Grama Panchayat,G01025,Vilavoorkkal Gramapanchayat,138,Kattakkada,20,20,1.0000,1,6,6,6,2,UDF,6,LDF,6,NDA,6
G,Grama Panchayat,G01026,Kalliyoor Gramapanchayath,139,Kovalam,20,24,0.8333,2,5,8,10,1,NDA,10,LDF,8,UDF,5
G,Grama Panchayat,G01027,Andoorkonam Grampanchayat,130,Nedumangad,20,20,1.0000,1,8,7,4,1,UDF,8,LDF,7,NDA,4
G,Grama Panchayat,G01028,Kadinamkulam Gramapanchayath,129,Chirayinkeezhu,24,24,1.0000,1,13,7,1,3,UDF,13,LDF,7,OTH,3
G,Grama Panchayat,G01029,Mangalapuram Gramapanchayath,129,Chirayinkeezhu,22,22,1.0000,1,6,7,7,2,LDF,7,NDA,7,UDF,6
G,Grama Panchayat,G01030,Pothencode Gramapanchayath,130,Nedumangad,19,19,1.0000,1,3,9,6,1,LDF,9,NDA,6,UDF,3
G,Grama Panchayat,G01031,Azhoor Grampanchayat,129,Chirayinkeezhu,18,18,1.0000,1,5,4,9,0,NDA,9,UDF,5,LDF,4
G,Grama Panchayat,G01032,Kattakada Gramapanchayath,138,Kattakkada,24,24,1.0000,1,4,16,4,0,LDF,16,UDF,4,NDA,4
G,Grama Panchayat,G01033,Vellanad Gramapanchayat,136,Aruvikkara,20,20,1.0000,1,4,9,5,2,LDF,9,NDA,5,UDF,4
G,Grama Panchayat,G01034,Poovachal Gramapanchayath,136,Aruvikkara,24,24,1.0000,1,9,8,6,1,UDF,9,LDF,8,NDA,6
G,Grama Panchayat,G01035,Aryanad Gramapanchayath,136,Aruvikkara,18,18,1.0000,1,11,7,0,0,UDF,11,LDF,7,,
G,Grama Panchayat,G01036,Vithura Gramapanchayath,136,Aruvikkara,15,18,0.8333,2,6,9,3,0,LDF,9,UDF,6,NDA,3
G,Grama Panchayat,G01037,Kuttichal Grampanchayat,136,Aruvikkara,14,15,0.9333,2,8,5,1,1,UDF,8,LDF,5,NDA,1
G,Grama Panchayat,G01038,Uzhamalakkal Gramapanchayath,136,Aruvikkara,16,16,1.0000,1,3,9,4,0,LDF,9,NDA,4,UDF,3
G,Grama Panchayat,G01039,Tholicode Gramapanchayath,136,Aruvikkara,18,18,1.0000,1,11,6,1,0,UDF,11,LDF,6,NDA,1
G,Grama Panchayat,G01040,Karakulam Gramapanchayath,130,Nedumangad,24,24,1.0000,1,8,15,0,1,LDF,15,UDF,8,OTH,1
